,date,revenue,earnings,actual,estimate,ticker,as_of_date
233,2Q2019,38842000000.0,1408000000,4.3,3.74,CI,4/28/20
234,3Q2019,38607000000.0,1351000000,4.54,4.36,CI,4/28/20
235,4Q2019,38338000000.0,977000000,4.31,4.2,CI,4/28/20
236,1Q2019,1272000000.0,16000000,0.06,0.05,AMD,4/28/20
237,2Q2019,1531000000.0,35000000,0.08,0.08,AMD,4/28/20
238,3Q2019,1801000000.0,120000000,0.18,0.18,AMD,4/28/20
239,4Q2019,2127000000.0,170000000,0.32,0.31,AMD,4/28/20
240,2Q2019,1592000000.0,396000000,1.22,1.25,NTAP,4/28/20
241,3Q2019,1236000000.0,103000000,0.65,0.58,NTAP,4/28/20
242,4Q2019,1371000000.0,243000000,1.09,0.94,NTAP,4/28/20
243,1Q2020,1404000000.0,277000000,1.16,1.18,NTAP,4/28/20
244,1Q2019,3757000000.0,394000000,1.2,0.95,L,4/28/20
245,2Q2019,3623000000.0,249000000,0.78,0.75,L,4/28/20
246,3Q2019,3675000000.0,72000000,0.22,0.75,L,4/28/20
247,4Q2019,3852000000.0,217000000,,,L,4/28/20
248,1Q2019,1272245000.0,280470000,0.71,0.4,WELL,4/28/20
249,2Q2019,1320106000.0,137762000,0.34,0.5,WELL,4/28/20
250,3Q2019,1266133000.0,589876000,1.45,0.47,WELL,4/28/20
251,4Q2019,1262822000.0,224324000,0.55,0.3,WELL,4/28/20
252,1Q2019,5657000000.0,928000000,1.12,1.06,AFL,4/28/20
253,2Q2019,5511000000.0,817000000,1.13,1.07,AFL,4/28/20
254,3Q2019,5536000000.0,777000000,1.16,1.07,AFL,4/28/20
255,4Q2019,5603000000.0,781000000,1.03,1.02,AFL,4/28/20
256,1Q2019,3505400000.0,296500000,1.03,1.02,ECL,4/28/20
257,2Q2019,3759400000.0,368600000,1.42,1.41,ECL,4/28/20
258,3Q2019,3817900000.0,464200000,1.71,1.71,ECL,4/28/20
259,4Q2019,3823600000.0,429600000,1.66,1.69,ECL,4/28/20
260,1Q2019,3516000000.0,412000000,1.88,1.84,SYK,4/28/20
261,2Q2019,3650000000.0,480000000,1.98,1.94,SYK,4/28/20
